# Opus Dictionary - LLM-generated transliterations
# Format: Thai<TAB>Romanization
# This file is auto-generated from corpus test failures
# and filled in by Claude Opus
กฎระเบียบ	gòt-rá~bìiap
สักครั้ง	sàk-kráng
สักครู่	sàk-krûu
สักที	sàk-tii
สังกัด	sǎng-gàt
สังหรณ์ใจ	sǎng-hɔ̌ɔn-jai
สัญลักษณ์	sǎn-yá~lák
สัปดน	sàp-dòn
สัปดี้	sàp-dîi
สัม	sǎm
สา	sǎa
สาตร์	sàat
สามชั้น	sǎam-chán
สามสิบ	sǎam-sìp
สายลับ	sǎai-láp
สายเหนือ	sǎai-nʉ̌ʉa
สารท	sàat
สารภาพผิด	sǎa-rá~pâap-pìt
สารวัตร	sǎa-rá~wàt
สาลี	sǎa-lii
สาลี่	sǎa-lîi
สาว	sǎao
สำลัก	sǎm-lák
สำอาง	sǎm-aang
สินเชื่อ	sǐn-chʉ̂ʉa
สิ่งยั่วยุ	sìng-yûua-yú
สิ้นเดือน	sîn-dʉʉan
สีชมพู	sǐi-chom-puu
สีแดง	sǐi-dɛɛng
สุ	sù
สุขาภิบาล	sù~kǎa-pí~baan
สุขุมวิท	sù~kǔm-wít
สุทธิ	sùt-tí
สุนทรพจน์	sǔn-tɔɔn-rá~pót
สุมหัว	sǔm-hǔua
สุว	sù~wá
สุเทพ	sù~têep
สูตร	sùut
สูบบุหรี่	sùup-bù-rìi
สเกต	sà~gèet
สเก็ต	sà~gèt
สเตอร์	sà~dtəə
สเตียโน่	sà~dtiia-nôo
สแกนเนอร์	sà~gɛɛn-nəə
สแตนด์	sà~dtɛɛn
สไตล์	sà~dtai
สๆ	sɔ̌ɔ-sɔ̌ɔ
ส่งจดหมาย	sòng-jòt-mǎai
ส่งสัญญาณ	sòng-sǎn-yaan
ส่วนกลาง	sùuan-glaang
ส่วนกุศล	sùuan-gù~sǒn
ส้นตีน	sôn-dtiin
สําคัญ	sǎm-kan
หนวกหู	nùuak-hǔu
หนองคาย	nɔ̌ɔng-kaai
หนอน	nɔ̌ɔn
หนังยาง	nǎng-yaang
หนังโป๊	nǎng-bpóo
หนิ	nǐ
หนึ่งเดียว	nʉ̀ng-diiao
หน่วย	nùuai
หน่วยกิต	nùuai-gìt
หน่วยงาน	nùuai-ngaan
หน่อ	nɔ̀ɔ
หน้ามืด	nâa-mʉ̂ʉt
หน้าเจื่อน	nâa-jʉ̀ʉan
หน้าแล้ง	nâa-lɛ́ɛng
หมดตูด	mòt-dtùut
หมดยุค	mòt-yúk
หมดเวลา	mòt-wee-laa
หมวย	mǔuai
หมั่น	màn
หมากฮอส	màak-hɔ́t
หมายความ	mǎai-kwaam
หมิ่นประมาท	mìn-bprà~màat
หมึก	mʉ̀k
หมูสามชั้น	mǔu-sǎam-chán
หมูหย็อง	mǔu-yɔ̌ng
หม่า	màa
หยด	yòt
หยาด	yàat
หยิ่งยโส	yìng-yá~sǒo
หยึยๆ	yʉ̌i-yʉ̌i
หรอ	rɔ̌ɔ
หลง	lǒng
หลงคารม	lǒng-kaa-rom
หลวง	lǔuang
หลวงพี่	lǔuang-pîi
หลวงพ่อ	lǔuang-pɔ̂ɔ
หลอดไฟ	lɔ̀ɔt-fai
หลัก	làk
หลังจากที่	lǎng-jàak-tîi
หลังบ้าน	lǎng-bâan
หลับใหล	làp-lǎi
หลาน	lǎan
หลานชาย	lǎan-chaai
หลายอย่าง	lǎai-yàang
หลายแหล่	lǎai-lɛ̀
หลิน	lǐn
หลุม	lǔm
หล่ม	lòm
หล่ะ	là
หวน	hǔuan
หวา	wǎa
หวาดหวั่น	wàat-wàn
หวิว	wǐu
หวือหวา	wʉ̌ʉ-wǎa
หว่านพืชหวังผล	wàan-pʉ̂ʉt-wǎng-pǒn
หอบ	hɔ̀ɔp
หอประชุม	hɔ̌ɔ-bprà~chum
หะ	hà
หัวซุน	hǔua-sun
หัวนม	hǔua-nom
หัวหงอก	hǔua-ngɔ̀ɔk
หัวเทียน	hǔua-tiian
หาญ	hǎan
หายกัน	hǎai-gan
หายตัว	hǎai-dtuua
หายโกรธ	hǎai-gròot
หาว่า	hǎa-wâa
หาสะ	hǎa-sà
หาเงิน	hǎa-ngən
หาไม่	hǎa-mâi
หิ	hǐ
หึง	hʉ̌ng
หึ่ง	hʉ̀ng
หืน	hʉ̌ʉn
หืม	hʉ̌m
หือ	hʉ̌ʉ
หุ่นใหญ่	hùn-yài
หุ้น	hûn
ห่างไกล	hàang-glai
ห้องสนทนา	hɔ̂ng-sǒn-tá~naa
ห้อย	hɔ̂i
ห้าสิบ	hâa-sìp
อ.	ɔɔ
อก.	ɔɔ-gɔɔ
อดตาย	òt-dtaai
อดนอน	òt-nɔɔn
อดุลย์	à~dun
อน	on
อนาจาร	à~naa-jaan
อป	ɔɔ-bpɔɔ
อมทุกข์	om-túk
อยากรู้	yàak-rúu
อยู่กิน	yùu-gin
อยู่ดีๆ	yùu-dii-dii
อย่างนั้น	yàang-nán
อย่างว่า	yàang-wâa
อร	ɔɔn
อรรถรส	àt-tà~rót
อสิ	à~sì
ออ	ɔɔ
ออกซิเจน	ɔ̀ɔk-sí~jeen
ออกซิเดชัน	ɔ̀ɔk-sí~dee-chân
ออกรถ	ɔ̀ɔk-rót
ออฟฟิศ	ɔ́ɔp-fít
อะดิ	à~dì
อังคาร	ang-kaan
อัดเทป	àt-têep
อัต	àt
อัตโนมัติ	àt-dtà~noo-mát
อัน	an
อันตราย	an-dtà~raai
อันเป็น	an-bpen
อัปเดต	àp-dèet
อาชา	aa-chaa
อาตมา	àat-dtà~maa
อาทร	aa-tɔɔn
อาม่า	aa-mâa
อายุ	aa-yú
อายุขัย	aa-yú-kǎi
อาราม	aa-raam
อาร์	aa
อาหาร	aa-hǎan
อิทธิ	ìt-tí
อิทธิฤทธิ์	ìt-tí~rít
อิน	in
อินดี้	in-dîi
อินทรี	in-sii
อินเตอร์	in-dtəə
อิมผู่	im-pùu
อิเล็กทรอนิกส์	ì~lék-trɔɔ-nìk
อิ๊บ	íp
อีกด้วย	ìik-dûuai
อีกที	ìik-tii
อีส	ìit
อีหนู	ii-nǔu
อีเมล	ii-meo
อีโต้	ii-dtôo
อี่	ìi
อี้	îi
อี๊ด	íit
อี๋	ǐi
อึ๊ย	ʉ́i
อืม	ʉʉm
อือ	ʉʉ
อื้ม	ʉ̂ʉm
อื้อ	ʉ̂ʉ
อื้อฉาว	ʉ̂ʉ-chǎao
อื๋ย	ʉ̌i
อุทิศ	ù~tít
อุ้ย	ûi
อุ๊	ú
อุ๋ม	ǔm
อุ๋มคน	ǔm-kon
อู้	ûu
อู๋	ǔu
อเมริกัน	à~mee-rí~gan
อโศก	à~sòok
อโหสิกรรม	à~hǒo-sì~gam
อ่อ	ɔ̀ɔ
อ่อง	ɔ̀ɔng
อ่านหนังสือ	àan-nǎng~sʉ̌ʉ
อ้อ	ɔ̂ɔ
อ้อนวอน	ɔ̂ɔn-wɔɔn
อ้ะ	â
อ้างว่า	âang-wâa
อ๋อง	ɔ̌ɔng
อ๋อย	ɔ̌i
ฮวงซุ้ย	huang-súi
ฮวดไช้	hûuat-chái
ฮะ	há
ฮั่นแน่	hân-nɛ̂ɛ
ฮิ	hí
ฮิต	hít
ฮีโร่	hii-rôo
ฮึ	hʉ́
ฮื่ม	hʉ̂m
ฮุก	húk
ฮุค	húk
ฮู้	húu
ฮ็อต	hɔ́t
ฮ้อ	hɔ́ɔ
เกราะ	grɔ̀
เกรียน	griian
เกลี้ยง	glîiang
เกล็ด	glèt
เกวียน	gwiian
เกศ	gèet
เกษตร	gà~sèet
เกสต์เฮาส์	gét-háo
เกา	gao
เกินกำลัง	gəən-gam-lang
เกินไป	gəən-bpai
เกียรติคุณ	giiat-dtì~kun
เกียร์	giia
เกี่ยวกับว่า	gìiao-gàp-wâa
เกี้ยว	gîiao
เกือก	gʉ̀ʉak
เก็ก	gèk
เก่าๆ	gào-gào
เก้อ	gə̂ə
เขย	kə̌əi
เขยิบ	kà~yə̀əp
เขวี้ยง	kwîiang
เขื่อน	kʉ̀ʉan
เข็น	kěn
เข็ม	kěm
เข้าข่าย	kâo-kàai
เข้าจังหวะ	kâo-jang-wà
เข้าถึง	kâo-tʉ̌ng
เข้าที่	kâo-tîi
เข้าประจำตำแหน่ง	kâo-bprà~jam-dtam-nɛ̀ng
เข้าเป้า	kâo-bpâo
เข้าเรียน	kâo-riian
เข้าไป	kâo-bpai
เคน	keen
เคมี	kee-mii
เครื่องคอมพิวเตอร์	krʉ̂ʉang-kɔm-píu-dtə̂ə
เครื่องพิมพ์	krʉ̂ʉang-pim
เครื่องใน	krʉ̂ʉang-nai
เคล็ด	klét
เคล้า	kláo
เคาน์เตอร์	kao-dtə̂ə
เคาะ	kɔ́
เคียง	kiiang
เคียว	kiiao
เคี้ย	kía
เค้า	káo
เงินทอง	ngən-tɔɔng
เงินได้	ngən-dâai
เงียบๆ	ngîiap-ngîiap
เงี้ย	ngía
เง็ก	ngék
เจ	jee
เจมส์	jeem
เจย์โชว	jee-choo
เจอะ	jə̀
เจอะกัน	jə̀-gan
เจาะตลาด	jɔ̀-dtà~làat
เจีย	jiia
เจื่อน	jʉ̀ʉan
เจื้อยแจ้ว	jʉ̂ʉai-jɛ̂ɛo
เจ็ก	jèk
เจ็ดสิบ	jèt-sìp
เจ้	jâo
เจ้า	jâo
เจ้าของบ้าน	jâo-kɔ̌ɔng-bâan
เจ้าของร้าน	jâo-kɔ̌ɔng-ráan
เจ้าชาย	jâo-chaai
เจ้าที่	jâo-tîi
เจ้าภาพ	jâo-pâap
เจ้ามือ	jâo-mʉʉ
เจ้าสัว	jâo-sǔua
เจ้าหญิง	jâo-yǐng
เจ้าเก่า	jâo-gào
เจ้าแม่	jâo-mɛ̂ɛ
เฉียด	chìiat
เฉี่ยว	chìiao
เชล	cheen
เชอร์	chəə
เชอะ	chə́
เชาว	chaao
เชิญชวน	chəən-chuuan
เชิ้ด	chə́ət
เชียงใหม่	chiiang-mài
เชี่ยแจ็ค	chîia-jɛ́k
เชี่ยๆ	chîia-chîia
เชื่อถือ	chʉ̂ʉa-tʉ̌ʉ
เชื่อถือได้	chʉ̂ʉa-tʉ̌ʉ-dâai
เชื่อม	chʉ̂ʉam
เชื่อมต่อ	chʉ̂ʉam-dtɔ̀ɔ
เชื่อมือ	chʉ̂ʉa-mʉʉ
เชื่อมโยง	chʉ̂ʉam-yoong
เชื่อได้	chʉ̂ʉa-dâai
เช็งเม้ง	chéng-méng
เช่นนี้	chên-níi
เช้ง	chéng
เซฟ	séep
เซลล์	sen
เซอร์ไพรส์	səə-prai
เซ็กซี่	sék-sîi
เซ็ต	sét
เซ็นทรัล	sen-tran
เซ็ม	sém
เซ้าซี้	sáo-síi
เด	dee
เดนตาย	deen-dtaai
เดฟ	déep
เดย์	dee
เดอะ	də́
เดะ	dè
เดินทาง	dəən-taang
เดินผ่าน	dəən-pàan
เดินรถ	dəən-rót
เดินสวน	dəən-sǔuan
เดินหน้า	dəən-nâa
เดินไปเดินมา	dəən-bpai-dəən-maa
เดียร์	diia
เดี๋ยวก่อน	dǐiao-gɔ̀ɔn
เดือด	dʉ̀ʉat
เด็กผู้ชาย	dèk-pûu-chaai
เด่ะ	dè
เด้ง	déng
เด้อ	də́ə
เด้ะ	dé
เด๊ะ	dé
เตารีด	dtao-rîit
เตี่ย	dtìia
เต็มไปหมด	dtem-bpai-mòt
เต้นรำ	dtên-ram
เถลิง	tà~ləəng
เถื่อน	tʉ̀ʉan
เทค	téek
เทพบุตร	têep-pà~bùt
เทพยดา	têp-pá~yá~daa
เทรด	trêet
เทวี	tee-wii
เทือ	tʉʉa
เท็ก	ték
เท่ง	tèng
เท่านั้นเอง	tâo-nán-eeng
เนลสัน	neen-sân
เนอ	nəə
เนิ่นนาน	nə̀ən-naan
เนียส	nîiat
เนี้ย	nía
เนื่องด้วย	nʉ̂ʉang-dûuai
เนื้อเพลง	nʉ́ʉa-pleeng
เน็ต	nét
เน้นย้ำ	nén-yám
เบนซ์	been
เบบ	bèep
เบรก	brèek
เบอร์	bəə
เบิร์ท	bə̀ət
เบี้ยว	bîiao
เบ้า	bâo
เบ๊บ	bép
เปรียบเหมือน	bprìiap-mʉ̌ʉan
เปรี้ยง	bprîiang
เปลี่ยนคน	bplìian-kon
เปลี่ยนเป็น	bplìian-bpen
เปลี่ยนเส้นทาง	bplìian-sên-taang
เปลี่ยนไป	bplìian-bpai
เปล่งแสง	bplèng-sɛ̌ɛng
เปอร์เซ็นต์	bpəə-sen
เปา	bpao
เปาบุ้นจิ้น	bpao-bûn-jîn
เปิง	bpəəng
เปิดซิง	bpə̀ət-sing
เปิดน้ำ	bpə̀ət-nám
เปิดโอกาส	bpə̀ət-oo-gàat
เปิ่ง	bpə̀ng
เปียโน	bpiia-noo
เปื่อย	bpʉ̀ʉai
เป็ด	bpèt
เป็นการ	bpen-gaan
เป็นความลับ	bpen-kwaam-láp
เป็นงาน	bpen-ngaan
เป็นตัวแทน	bpen-dtuua-tɛɛn
เป็นที่	bpen-tîi
เป็นน้ำ	bpen-nám
เป็นประโยชน์	bpen-bprà~yòot
เป็นผลดี	bpen-pǒn-dii
เป็นสมาชิก	bpen-sà~maa-chík
เป็นเกียรติ	bpen-gìiat
เป็นเรื่อง	bpen-rʉ̂ʉang
เป็นเอกฉันท์	bpen-èek-gà~chǎn
เป็นเอามาก	bpen-ao-mâak
เป็บ	bpèp
เป่านกหวีด	bpào-nók-wìit
เป่าปี่	bpào-bpìi
เป้า	bpâo
เป๊บ	bpép
เป๋ง	bpěng
เผยแพร่	pə̌əi-prɛ̂ɛ
เผาถ่าน	pǎo-tàan
เฝ้าบ้าน	fâo-bâan
เฝ้ามอง	fâo-mɔɔng
เพ	pee
เพรา	prao
เพลย์	pleei
เพลิง	pləəng
เพอร์เฟค	pəə-fék
เพอร์เฟ็ก	pəə-fék
เพิ่มมากขึ้น	pə̂əm-mâak-kʉ̂n
เพียงผู้เดียว	piiang-pûu-diiao
เพียงเท่านี้	piiang-tâo-níi
เพียงแค่	piiang-kɛ̂ɛ
เพียว	piiao
เพื่อนซี้	pʉ̂ʉan-síi
เพ่นพ่าน	pên-pâan
เฟซบุ๊ก	féet-búk
เฟย์	feei
เฟอะฟะ	fə́-fá
เฟี้ยว	fíiao
เฟื่อ	fʉ̂ʉa
เภา	pao
เม	mee
เมน	meen
เมาน์	mao
เมืองกรุง	mʉʉang-grung
เมืองนอก	mʉʉang-nɔ̂ɔk
เมื่อกี้นี้	mʉ̂ʉa-gîi-níi
เมื่อก่อนนี้	mʉ̂ʉa-gɔ̀ɔn-níi
เมื่อคืน	mʉ̂ʉa-kʉʉn
เมื่อวันก่อน	mʉ̂ʉa-wan-gɔ̀ɔn
เมื่อไร	mʉ̂ʉa-rai
เมโทร	mee-troo
เยลลี่	yen-lîi
เยาวราช	yao-wá~râat
เยี่ยว	yìiao
เย้	yée
เรนโบว์	reen-boo
เริ่ด	rə̀ət
เริ่มกิจการ	rə̂əm-gìt-jà~gaan
เรียนต่อ	riian-dtɔ̀ɔ
เรียนหนังสือ	riian-nǎng~sʉ̌ʉ
เรี่ยม	rîiam
เรี่ยวแรง	rîiao-rɛɛng
เรือง	rʉʉang
เรื่องเล่า	rʉ̂ʉang-lâo
เรื่องไม่เป็นเรื่อง	rʉ̂ʉang-mâi-bpen-rʉ̂ʉang
เร่	rêe
เลกเชอร์	lék-chəə
เลขานุการ	lee-kǎa-nú-gaan
เละ	lé
เลิกงาน	lə̂ək-ngaan
เลิกแถว	lə̂ək-tǎɛo
เลิศเลอ	lə̂ət-ləə
เลี้ยงลูก	líiang-lûuk
เลี้ยงเด็ก	líiang-dèk
เล็ก	lék
เล็กๆ น้อยๆ	lék-lék-nɔ́i-nɔ́i
เล็ง	leng
เล่ง	lêng
เล่นตา	lên-dtaa
เล่นหุ้น	lên-hûn
เล่นไพ่	lên-pâi
เว	wee
เวน	ween
เวิร์ด	wə́ət
เว็บไซต์	wép-sai
เสด็จ	sà~dèt
เสพ	sèep
เสมียน	sà~mǐian
เสาร์	sǎo
เสียงทอง	sǐiang-tɔɔng
เสียงหวาน	sǐiang-wǎan
เสียงเพลง	sǐiang-pleeng
เสียชีวิต	sǐia-chii-wít
เสียที	sǐia-tii
เสียน้ำตา	sǐia-nám-dtaa
เสียสละ	sǐia-sà~là
เสียอารมณ์	sǐia-aa-rom
เสียเงิน	sǐia-ngən
เสียได้	sǐia-dâai
เสี่ย	sìia
เสือ	sʉ̌ʉa
เสือผู้หญิง	sʉ̌ʉa-pûu-yǐng
เสื่อม	sʉ̀ʉam
เส้นตึง	sên-dtʉng
เส้นเลือด	sên-lʉ̂ʉat
เหงี่ยม	ngìiam
เหตุขัดข้อง	hèet-kàt-kɔ̂ng
เหนียว	nǐiao
เหน็ดเหนื่อย	nèt-nʉ̀ʉai
เหน่ง	nèng
เหมย	mə̌əi
เหมาะกับ	mɔ̀-gàp
เหมือนว่า	mʉ̌ʉan-wâa
เหม่ง	mèng
เหยียดหยาม	yìiat-yǎam
เหรียญทอง	rǐian-tɔɔng
เหรียญรางวัล	rǐian-raang-wan
เหลือง	lʉ̌ʉang
เหลื่อม	lʉ̀ʉam
เหล็กดัด	lèk-dàt
เหล่	lèe
เหล่านี้	lào-níi
เหวี่ยง	wìiang
เห่ย	həi
เอ	ee
เอกซ์	èk
เอกสารราชการ	èek-gà~sǎan-râat-chá~gaan
เอดจ์	èt
เอบี	ee-bii
เอฟ	èf
เอส	ès
เอาตาย	ao-dtaai
เอาต์	ao
เอาละ	ao-lá
เอาแต่	ao-dtɛ̀ɛ
เอาไว้	ao-wái
เอียง	iiang
เอี่ยม	ìiam
เอื้อ	ʉ̂ʉa
เอเชีย	ee-chiia
เอ็กซ์	ék
เอ็น	en
เอ็นทรานซ์	en-traan
เอ็นท์	en
เอ็นอ่อน	en-ɔ̀ɔn
เอ็ม	em
เอ็มโพเรียม	em-poo-riiam
เอ้ย	ə̂əi
เอ้อ	ə̂ə
เอ้าๆ	âo-âo
เอ๊	ée
เอ๊ย	ée
เอ๊ะ	é
เอ๋ย	ə̌əi
เฮลิคอปเตอร์	hee-lí-kɔ̀p-dtəə
เฮอะ	hə́
เฮิร์ท	hə́ət
เฮีย	hiia
เฮี้ยน	hían
เฮ้	hée
เฮ้อ	hə́ə
แกก็จะ	gɛɛ-gɔ̂ɔ-jà
แกก็น่า	gɛɛ-gɔ̂ɔ-nâa
แกก็รู้	gɛɛ-gɔ̂ɔ-rúu
แกก็ส	gɛ̂ɛk
แกช็อป	gɛɛ-chɔ́p
แกตต์	gɛ̀t
แก็ง	gɛ́ng
แก้ปัญหา	gɛ̂ɛ-bpan-hǎa
แก้ไขปัญหา	gɛ̂ɛ-kǎi-bpan-hǎa
แก๊ส	gɛ́s
แข	kɛ̌ɛ
แขนะ	kɛ̌ɛ-ná
แค	kɛɛ
แคนาดา	kɛɛ-naa-daa
แคนเซิล	kɛɛn-səən
แคล้วคลาด	klɛ́ɛo-klâat
แคสต์	kɛ́s
แจ	jɛɛ
แจว	jɛɛo
แจ่ม	jɛ̀m
แชมป์	chɛɛm
แชมเปี้ยน	chɛɛm-bpîian
แชร์	chɛɛ
แช่ง	châɛng
แช่น้ำ	châɛ-nám
แซง	sɛɛng
แซด	sɛ̂ɛt
แซนด์	sɛɛn
แซลมอน	sɛɛn-mɔɔn
แซ่	sɛ̂ɛ
แดง	dɛɛng
แดดิ้น	dɛ̀ɛt-dîn
แดน	dɛɛn
แตน	dtɛɛn
แต่ต้น	dtɛ̀ɛ-dtôn
แต่ยังไง	dtɛ̀ɛ-yang-ngai
แต่เช้า	dtɛ̀ɛ-cháao
แต๊ะอั๋ง	dtɛ́-ǎng
แต๊ะเอีย	dtɛ́-iia
แต๋ง	dtɛ̌ng
แท็ก	tɛ́k
แท็กซี่	tɛ́k-sîi
แท่ง	tɛ̂ng
แท่นพิมพ์	tɛ̂n-pim
แท้ๆ	tɛ́ɛ-tɛ́ɛ
แนะนำตัว	nɛ́-nam-dtuua
แน็กๆ	nɛ́k-nɛ́k
แน่	nɛ̂ɛ
แน่จริง	nɛ̂ɛ-jing
แน่ๆ	nɛ̂ɛ-nɛ̂ɛ
แบงค์	bɛɛng
แบบผม	bɛ̀ɛp-pǒm
แบรนด์	brɛɛn
แปล๊บ	bplɛ́p
แปะ	bpɛ̀
แป้งมัน	bpɛ̂ng-man
แป๊ป	bpɛ́p
แป๊ะเจี๊ยะ	bpɛ́-jía
แผง	pɛ̌ɛng
แผดเผา	pɛ̀ɛt-pǎo
แพ	pɛɛ
แพตต์	pɛ́t
แพท	pɛ́t
แพร่กระจาย	prɛ̂ɛ-grà~jaai
แพลง	plɛɛng
แพ็ก	pɛ́k
แพ็กเกจ	pɛ́k-gèt
แฟกซ์	fɛ́k
แฟนคลับ	fɛɛn-kláp
แฟนส์	fɛɛn
แฟมิลี่	fɛɛ-mí~lîi
แฟ่	fɛ̂ɛ
แมกซ์	mɛ́k
แมค	mɛ́k
แมน	mɛɛn
แมนเดลา	mɛɛn-dee-laa
แม่พิมพ์	mɛ̂ɛ-pim
แม่มด	mɛ̂ɛ-mót
แม่ยาย	mɛ̂ɛ-yaai
แม่ศรี	mɛ̂ɛ-sǐi
แม้น	mɛ́ɛn
แยกแยะ	yɛ̂ɛk-yɛ́
แยะ	yɛ́
แร	rɛɛ
แรงผลักดัน	rɛɛng-pà~làk-dan
แลก็สม	lɛɛ-gèt-sà~mǎi
แล็ค	lɛ́k
แล้วด้วย	lɛ́ɛo-dûuai
แล้วไป	lɛ́ɛo-bpai
แล๊บ	lɛ́p
แวคคั่ม	wɛ́k-kâm
แวน	wɛɛn
แวว	wɛɛo
แว่น	wɛ̂n
แสงอาทิตย์	sɛ̌ɛng-aa-tít
แสดงว่า	sà~dɛɛng-wâa
แสตมป์	sà~dtɛɛm
แห	hɛ̌ɛ
แหก	hɛ̀ɛk
แหม	mɛ̌ɛ
แหม่ม	mɛ̀m
แหยะ	yɛ̀
แหลก	lɛ̀ɛk
แหลกลาญ	lɛ̀ɛk-laan
แหลมคม	lɛ̌ɛm-kom
แหล็ม	lɛ́m
แหวะ	wɛ̀
แอ	ɛɛ
แอคชั่น	ɛ́k-châan
แอด	ɛ̀ɛt
แอนด์	ɛɛn
แอปเปิ้ล	ɛ́p-bpə̂n
แอล	ɛɛn
แอ็กติ้ง	ɛ́k-dtîng
แอ่น	ɛ̀n
แอ๊น	ɛ́n
แอ๊ะๆ	ɛ́-ɛ́
แฮ	hɛɛ
แฮก	hɛ́k
แฮปปี้	hɛ́p-bpîi
แฮ่	hɛ̂ɛ
แฮ่ม	hɛ̂m
โก	goo
โกร๋น	grǒon
โกลด์	goon
โก่ง	gòong
โก้เก๋	gôo-gěe
โก๊ะ	gó
โคจร	koo-jɔɔn
โคล	koon
โควตา	kwoo-dtaa
โค้ช	kóot
โค้ด	kóot
โฆษณา	kôot-sà~naa
โจทย์	jòot
โจนัน	joo-nan
โจ่ย	jòi
โจ๊ก	jóok
โจ๊ะพ	jó-pá
โฉด	chòot
โฉนด	chà~nòot
โฉม	chǒom
โชคดี	chôok-dii
โชคลาภ	chôok-lâap
โชน	choon
โซน	soon
โซฟา	soo-faa
โซลาร์	soo-laa
โดด	dòot
โดยปกติ	dooi-bpà~gà~dtì
โด่	dòo
โต้ง	dtôong
โทรศัพท์มือถือ	too-rá~sàp-mʉʉ-tʉ̌ʉ
โทษหนัก	tôot-nàk
โธ่	tôo
โธ่เอ๊ย	tôo-ə́əi
โน้ต	nóot
โน้น	nóon
โน้มตัว	nóom-dtuua
โบว์	boo
โบแดง	boo-dɛɛng
โปรดักต์	bproo-dák
โปรย	bprooi
โปรแกรม	bproo-grɛɛm
โปรโมชั่น	bproo-moo-châan
โปสเตอร์	bpòot-sà~dtəə
โป่ง	bpòong
โมง	moong
โมเดิร์น	moo-dəən
โย	yoo
โรงพัก	roong-pák
โรงพิมพ์	roong-pim
โรงหนัง	roong-nǎng
โรนัลโด้	roo-nan-dôo
โรม	room
โรแมนติก	roo-mɛɛn-dtìk
โร่	rôo
โลง	loong
โลงศพ	loong-sòp
โวะ	wó
โว๊ย	wóoi
โศก	sòok
โส่ย	sòi
โห	hǒo
โหงวเฮ้ง	ngǒo-héng
โหดร้าย	hòot-ráai
โหน่ง	nòong
โหล	lǒo
โหลยโท่ย	lǒi-tòi
โห่	hòo
โอย	ooi
โอสถ	oo-sòt
โอเค	oo-kee
โอ้	ôo
โอ้ย	ôoi
โอ๊ต	óot
โฮม	hoom
ใจจริง	jai-jing
ใจมา	jai-maa
ใจหายใจคว่ำ	jai-hǎai-jai-kwâm
ใจเดียว	jai-diiao
ใช่ปะ	châi-bpà
ใช้ประโยชน์	chái-bprà~yòot
ใช้สอย	chái-sɔ̌ɔi
ใช้หนี้	chái-nîi
ใช้ไม่ได้	chái-mâi-dâai
ใต้โต๊ะ	dtâai-dtó
ในสังกัด	nai-sǎng-gàt
ใบหน้า	bai-nâa
ใฝ่ฝัน	fài-fǎn
ใส่ไข่	sài-kài
ให้น้ำ	hâi-nám
ให้เกียรติ	hâi-gìiat
ให้เสียง	hâi-sǐiang
ให้โอกาส	hâi-oo-gàat
ไก	gai
ไกลๆ	glai-glai
ไข่เค็ม	kài-kem
ไข้หัว	kâi-hǔua
ไคล	klai
ไฉไล	chǎi-lai
ไช่	châi
ไซ	sai
ไซส์	sái
ได้ขนาด	dâai-kà~nàat
ได้คิด	dâai-kít
ได้ที่	dâai-tîi
ได้มา	dâai-maa
ได้มาตรฐาน	dâai-mâat-dtrà~tǎan
ได้รับอนุญาต	dâai-ráp-à~nú~yâat
ได้เงิน	dâai-ngən
ได้เปรียบ	dâai-bprìiap
ได้เวลา	dâai-wee-laa
ได้เสียกัน	dâai-sǐia-gan
ไต้หวัน	dtâi-wǎn
ไต๋	dtǎi
ไถ	tǎi
ไท	tai
ไทม์	taai
ไนโตรเจน	nai-dtroo-jeen
ไปมา	bpai-maa
ไปเป็นเพื่อน	bpai-bpen-pʉ̂ʉan
ไปๆ มาๆ	bpai-bpai-maa-maa
ไผ่	pài
ไพ	pai
ไพร	prai
ไพรัช	pai-rát
ไพศาล	pai-sǎan
ไพ่ป๊อก	pâi-bpɔ́k
ไฟฟ้ากระแสสลับ	fai-fáa-grà~sɛ̌ɛ-sà~làp
ไฟล์	fai
ไม	mai
ไมโคร	mai-kroo
ไม่งั้น	mâi-ngán
ไม่ต้องการ	mâi-dtɔ̂ng-gaan
ไม่อย่างนั้น	mâi-yàang-nán
ไม่เท่าไร	mâi-tâo-rai
ไม่เป็นอะไร	mâi-bpen-à~rai
ไม่เห็นจะ	mâi-hěn-jà
ไม่ได้เรื่อง	mâi-dâai-rʉ̂ʉang
ไม้ขีด	mái-kìit
ไม้จิ้มฟัน	mái-jîm-fan
ไลน์	laai
ไว	wai
ไวท์	wái
ไว้ใจได้	wái-jai-dâai
ไสย	sǎi
ไสยศาสตร์	sǎi-yá~sàat
ไห	hǎi
ไหนจะ	nǎi-jà
ไหนล่ะ	nǎi-lâ
ไหนว่า	nǎi-wâa
ไหม้	mâi
ไหว	wǎi
ไหว้พระ	wâai-prá
ไหว้เจ้า	wâai-jâo
ไอพอด	ai-pɔ̀t
ไอศกรีม	ai-sà~griim
ไอเดีย	ai-diia
ไฮโซ	hai-soo
ไฮไฟ	hai-fai
คนรับ	kon-ráp
ชิน	chin
ดีไซน์	dii-sai
นางรำ	naang-ram
บรรทัด	ban-tát
ภาพรวม	pâap-ruuam
เมื่อเช้า	mʉ̂ʉa-cháo
แอน	ɛɛn
